iter	Passed	Remaining
0	6	86658
1	13	81365
2	18	77872
3	24	76883
4	30	76079
5	36	75963
6	42	75081
7	49	77442
8	56	78913
9	63	78853
10	68	77881
11	74	77112
12	80	77051
13	85	76439
14	91	76566
15	97	76376
16	103	75791
17	108	75274
18	114	75133
19	119	74488
20	124	74064
21	130	74238
22	136	73792
23	140	73271
24	145	72790
25	151	72703
26	157	72552
27	163	72725
28	169	72960
29	175	72877
30	181	73067
31	187	73169
32	194	73313
33	199	73161
34	205	73174
35	211	73070
36	216	72943
37	222	72869
38	227	72646
39	233	72580
40	238	72325
41	243	72119
42	248	72049
43	253	71822
44	258	71643
45	264	71587
46	269	71406
47	275	71348
48	280	71221
49	285	71131
50	291	71092
51	296	70926
52	301	70726
53	306	70644
54	312	70634
55	317	70494
56	322	70382
57	327	70317
58	333	70281
59	338	70130
60	343	70127
61	351	70416
62	356	70444
63	361	70320
64	367	70292
65	372	70173
66	378	70189
67	383	70095
68	388	70001
69	394	70013
70	399	69971
71	405	69954
72	410	69835
73	415	69843
74	420	69726
75	426	69739
76	432	69731
77	437	69742
78	444	69811
79	449	69777
80	455	69817
81	460	69784
82	466	69864
83	472	69901
84	478	69887
85	484	69916
86	489	69897
87	495	69867
88	500	69834
89	506	69858
90	513	69964
91	518	69980
92	525	70045
93	530	70051
94	536	70024
95	541	69999
96	547	70069
97	553	69993
98	558	69955
99	564	69971
100	569	69908
101	574	69863
102	581	69938
103	586	69911
104	592	69934
105	597	69883
106	603	69844
107	608	69805
108	614	69847
109	620	69843
110	625	69847
111	630	69781
112	635	69715
113	641	69706
114	647	69703
115	652	69704
116	658	69643
117	663	69606
118	668	69599
119	674	69535
120	679	69528
121	684	69458
122	690	69473
123	695	69455
124	701	69454
125	707	69528
126	713	69518
127	719	69550
128	725	69568
129	731	69565
130	736	69541
131	742	69531
132	747	69550
133	753	69527
134	759	69552
135	764	69532
136	770	69568
137	776	69565
138	782	69584
139	788	69644
140	794	69618
141	800	69666
142	805	69635
143	811	69653
144	817	69631
145	823	69639
146	828	69631
147	834	69614
148	840	69642
149	845	69633
150	851	69662
151	857	69646
152	863	69682
153	868	69660
154	874	69647
155	880	69671
156	885	69643
157	891	69615
158	896	69587
159	902	69573
160	908	69611
161	913	69596
162	919	69612
163	925	69606
164	930	69578
165	936	69556
166	942	69582
167	947	69567
168	953	69587
169	959	69575
170	964	69575
171	970	69591
172	976	69570
173	982	69593
174	987	69581
175	994	69605
176	999	69587
177	1005	69589
178	1011	69613
179	1016	69590
180	1022	69609
181	1028	69619
182	1034	69642
183	1040	69627
184	1046	69660
185	1052	69647
186	1057	69636
187	1063	69654
188	1069	69643
189	1075	69664
190	1080	69640
191	1085	69608
192	1091	69584
193	1096	69559
194	1102	69554
195	1107	69512
196	1112	69498
197	1117	69457
198	1123	69467
199	1128	69426
200	1133	69385
201	1139	69393
202	1145	69361
203	1151	69383
204	1156	69366
205	1162	69358
206	1168	69379
207	1173	69373
208	1180	69404
209	1186	69415
210	1191	69423
211	1200	69571
212	1208	69712
213	1216	69851
214	1225	70039
215	1234	70188
216	1241	70278
217	1249	70379
218	1255	70407
219	1263	70519
220	1270	70592
221	1276	70605
222	1282	70608
223	1287	70565
224	1292	70537
225	1298	70536
226	1304	70507
227	1310	70511
228	1316	70525
229	1321	70504
230	1327	70486
231	1333	70491
232	1339	70519
233	1344	70502
234	1351	70516
235	1356	70504
236	1362	70517
237	1368	70500
238	1374	70510
239	1379	70494
240	1385	70485
241	1391	70497
242	1397	70489
243	1403	70501
244	1409	70482
245	1415	70500
246	1420	70489
247	1426	70475
248	1431	70436
249	1436	70403
250	1442	70392
251	1447	70361
252	1453	70343
253	1458	70310
254	1463	70287
255	1469	70271
256	1474	70236
257	1480	70236
258	1485	70197
259	1490	70157
260	1496	70177
261	1502	70172
262	1508	70175
263	1513	70157
264	1519	70149
265	1525	70156
266	1531	70157
267	1536	70146
268	1542	70135
269	1548	70143
270	1554	70133
271	1560	70143
272	1565	70128
273	1572	70166
274	1579	70206
275	1585	70200
276	1590	70200
277	1596	70199
278	1602	70184
279	1607	70176
280	1614	70190
281	1619	70176
282	1626	70199
283	1631	70186
284	1637	70196
285	1643	70194
286	1649	70203
287	1655	70186
288	1661	70203
289	1667	70186
290	1672	70163
291	1677	70140
292	1683	70122
293	1689	70129
294	1694	70115
295	1699	70087
296	1705	70076
297	1710	70058
298	1716	70023
299	1721	69988
300	1726	69973
301	1731	69951
302	1737	69955
303	1743	69954
304	1749	69935
305	1755	69945
306	1760	69928
307	1766	69907
308	1772	69913
309	1777	69901
310	1783	69910
311	1789	69903
312	1795	69916
313	1801	69909
314	1807	69919
315	1813	69913
316	1819	69935
317	1825	69932
318	1831	69944
319	1837	69955
320	1843	69940
321	1849	69948
322	1855	69943
323	1861	69951
324	1867	69947
325	1873	69956
326	1878	69944
327	1884	69938
328	1890	69947
329	1896	69933
330	1902	69937
331	1908	69930
332	1913	69911
333	1918	69894
334	1924	69898
335	1931	69908
336	1936	69892
337	1942	69894
338	1948	69890
339	1954	69905
340	1960	69896
341	1966	69906
342	1972	69902
343	1978	69914
344	1984	69907
345	1989	69903
346	1996	69920
347	2002	69916
348	2008	69931
349	2014	69918
350	2020	69923
351	2026	69934
352	2032	69944
353	2038	69937
354	2044	69928
355	2050	69936
356	2055	69922
357	2061	69934
358	2067	69929
359	2073	69939
360	2079	69932
361	2086	69947
362	2091	69935
363	2097	69943
364	2103	69943
365	2109	69929
366	2114	69916
367	2120	69911
368	2126	69916
369	2132	69904
370	2138	69911
371	2144	69906
372	2150	69915
373	2156	69906
374	2162	69904
375	2168	69909
376	2174	69911
377	2179	69894
378	2185	69880
379	2191	69883
380	2196	69871
381	2202	69882
382	2208	69870
383	2214	69872
384	2220	69860
385	2225	69847
386	2231	69853
387	2237	69845
388	2243	69851
389	2249	69836
390	2255	69844
391	2260	69833
392	2266	69823
393	2272	69838
394	2279	69844
395	2284	69833
396	2290	69826
397	2296	69826
398	2302	69817
399	2307	69803
400	2312	69786
401	2320	69823
402	2327	69875
403	2334	69906
404	2340	69899
405	2346	69899
406	2352	69891
407	2357	69884
408	2364	69889
409	2369	69873
410	2375	69880
411	2381	69871
412	2387	69871
413	2392	69855
414	2399	69864
415	2404	69853
416	2411	69861
417	2416	69853
418	2422	69841
419	2428	69845
420	2433	69833
421	2440	69838
422	2446	69844
423	2452	69848
424	2458	69840
425	2463	69836
426	2470	69839
427	2476	69848
428	2481	69832
429	2487	69824
430	2493	69823
431	2499	69811
432	2504	69802
433	2509	69779
434	2515	69763
435	2521	69763
436	2526	69746
437	2532	69737
438	2537	69726
439	2544	69745
440	2550	69737
441	2556	69745
442	2562	69735
443	2568	69731
444	2574	69734
445	2579	69721
446	2585	69728
447	2591	69723
448	2597	69726
449	2603	69712
450	2609	69717
451	2615	69709
452	2621	69716
453	2627	69711
454	2632	69696
455	2638	69696
456	2644	69687
457	2650	69687
458	2656	69677
459	2662	69692
460	2668	69687
461	2674	69680
462	2680	69683
463	2685	69671
464	2691	69670
465	2697	69663
466	2703	69647
467	2708	69637
468	2714	69643
469	2720	69633
470	2726	69630
471	2733	69646
472	2739	69654
473	2745	69648
474	2751	69643
475	2757	69655
476	2763	69656
477	2769	69666
478	2775	69661
479	2782	69673
480	2787	69661
481	2794	69667
482	2799	69660
483	2805	69662
484	2811	69651
485	2817	69646
486	2823	69642
487	2828	69631
488	2835	69641
489	2840	69632
490	2847	69632
491	2852	69624
492	2858	69625
493	2864	69617
494	2870	69604
495	2876	69608
496	2881	69600
497	2888	69603
498	2893	69592
499	2899	69579
500	2904	69572
501	2910	69560
502	2916	69559
503	2922	69554
504	2928	69561
505	2934	69557
506	2940	69557
507	2946	69548
508	2952	69557
509	2958	69550
510	2963	69540
511	2970	69545
512	2976	69550
513	2982	69540
514	2988	69536
515	2994	69539
516	2999	69529
517	3005	69531
518	3012	69534
519	3018	69533
520	3023	69526
521	3030	69532
522	3035	69522
523	3042	69533
524	3047	69522
525	3053	69514
526	3059	69513
527	3065	69502
528	3071	69503
529	3077	69493
530	3082	69489
531	3088	69477
532	3095	69490
533	3101	69491
534	3106	69481
535	3113	69489
536	3119	69494
537	3125	69499
538	3132	69507
539	3138	69512
540	3144	69511
541	3151	69520
542	3157	69519
543	3163	69527
544	3169	69520
545	3175	69523
546	3181	69516
547	3187	69519
548	3193	69509
549	3199	69507
550	3205	69507
551	3210	69499
552	3217	69500
553	3223	69504
554	3229	69498
555	3234	69480
556	3240	69472
557	3245	69450
558	3250	69433
559	3256	69428
560	3261	69406
561	3267	69399
562	3272	69378
563	3279	69401
564	3287	69434
565	3294	69455
566	3301	69473
567	3306	69465
568	3312	69461
569	3318	69462
570	3324	69452
571	3330	69454
572	3336	69443
573	3341	69432
574	3347	69433
575	3353	69421
576	3359	69423
577	3365	69416
578	3371	69415
579	3377	69405
580	3382	69395
581	3388	69395
582	3394	69386
583	3400	69385
584	3406	69376
585	3411	69367
586	3417	69364
587	3423	69361
588	3429	69352
589	3435	69344
590	3441	69344
591	3447	69336
592	3453	69335
593	3458	69323
594	3464	69324
595	3470	69316
596	3476	69307
597	3482	69305
598	3487	69295
599	3493	69289
600	3499	69284
601	3505	69289
602	3511	69282
603	3517	69285
604	3523	69284
605	3530	69291
606	3536	69289
607	3543	69306
608	3549	69296
609	3555	69299
610	3560	69288
611	3567	69303
612	3573	69299
613	3579	69294
614	3585	69297
615	3591	69288
616	3597	69290
617	3603	69291
618	3609	69289
619	3615	69269
620	3620	69253
621	3626	69247
622	3631	69231
623	3637	69226
624	3643	69224
625	3649	69228
626	3655	69219
627	3661	69221
628	3667	69213
629	3673	69212
630	3679	69202
631	3684	69194
632	3690	69182
633	3696	69177
634	3702	69178
635	3708	69169
636	3714	69169
637	3720	69165
638	3726	69173
639	3732	69162
640	3737	69154
641	3744	69157
642	3749	69147
643	3755	69146
644	3761	69143
645	3768	69142
646	3773	69133
647	3779	69133
648	3785	69127
649	3792	69144
650	3800	69167
651	3807	69184
652	3814	69206
653	3820	69195
654	3825	69186
655	3832	69187
656	3837	69179
657	3843	69174
658	3849	69176
659	3856	69180
660	3862	69174
661	3867	69166
662	3874	69166
663	3879	69156
664	3885	69147
665	3891	69138
666	3897	69137
667	3902	69130
668	3909	69130
669	3914	69120
670	3920	69116
671	3926	69116
672	3932	69114
673	3939	69117
674	3944	69108
675	3950	69100
676	3956	69101
677	3963	69102
678	3968	69094
679	3975	69095
680	3981	69100
681	3988	69107
682	3994	69103
683	4000	69102
684	4006	69099
685	4012	69098
686	4018	69093
687	4024	69094
688	4030	69085
689	4036	69087
690	4041	69072
691	4046	69054
692	4052	69048
693	4058	69032
694	4063	69024
695	4068	69006
696	4074	69003
697	4079	68985
698	4085	68971
699	4091	68964
700	4096	68947
701	4102	68941
702	4107	68924
703	4113	68921
704	4119	68922
705	4125	68915
706	4131	68915
707	4137	68907
708	4143	68907
709	4149	68897
710	4154	68888
711	4160	68890
712	4166	68881
713	4172	68880
714	4178	68869
715	4184	68867
716	4190	68862
717	4196	68862
718	4202	68851
719	4208	68850
720	4213	68842
721	4220	68844
722	4225	68834
723	4231	68827
724	4237	68826
725	4243	68815
726	4249	68815
727	4255	68809
728	4260	68801
729	4267	68800
730	4272	68790
731	4278	68780
732	4283	68769
733	4290	68770
734	4296	68767
735	4302	68767
736	4307	68755
737	4314	68755
738	4319	68746
739	4325	68746
740	4331	68736
741	4337	68732
742	4343	68729
743	4349	68721
744	4355	68720
745	4361	68712
746	4366	68706
747	4373	68706
748	4379	68704
749	4384	68694
750	4390	68683
751	4396	68682
752	4402	68673
753	4408	68674
754	4413	68663
755	4419	68661
756	4425	68651
757	4431	68649
758	4437	68639
759	4442	68627
760	4448	68627
761	4454	68619
762	4460	68621
763	4466	68611
764	4472	68606
765	4478	68605
766	4484	68604
767	4490	68599
768	4496	68596
769	4502	68586
770	4508	68590
771	4514	68576
772	4519	68565
773	4525	68559
774	4530	68544
775	4536	68537
776	4541	68517
777	4547	68514
778	4552	68497
779	4557	68483
780	4563	68477
781	4568	68459
782	4574	68447
783	4579	68441
784	4585	68428
785	4590	68417
786	4596	68402
787	4602	68401
788	4607	68392
789	4613	68390
790	4619	68380
791	4625	68371
792	4631	68368
793	4637	68364
794	4643	68362
795	4648	68353
796	4654	68351
797	4660	68340
798	4666	68335
799	4672	68329
800	4677	68321
801	4683	68317
802	4689	68309
803	4695	68303
804	4700	68293
805	4707	68294
806	4712	68284
807	4718	68273
808	4724	68273
809	4730	68267
810	4736	68265
811	4741	68256
812	4748	68257
813	4753	68248
814	4760	68252
815	4766	68244
816	4772	68241
817	4777	68233
818	4783	68225
819	4789	68224
820	4795	68214
821	4801	68212
822	4807	68204
823	4813	68203
824	4818	68194
825	4825	68192
826	4830	68185
827	4837	68185
828	4842	68178
829	4848	68168
830	4854	68167
831	4860	68157
832	4865	68148
833	4871	68139
834	4878	68146
835	4884	68150
836	4890	68148
837	4896	68140
838	4903	68145
839	4908	68138
840	4914	68128
841	4920	68123
842	4925	68116
843	4931	68112
844	4937	68103
845	4943	68102
846	4949	68090
847	4955	68086
848	4960	68073
849	4966	68064
850	4971	68059
851	4977	68049
852	4983	68044
853	4988	68033
854	4994	68023
855	5000	68019
856	5005	68007
857	5011	68004
858	5017	67998
859	5024	68004
860	5030	68001
861	5036	67999
862	5041	67986
863	5047	67974
864	5053	67975
865	5059	67970
866	5064	67954
867	5069	67938
868	5075	67932
869	5080	67917
870	5086	67914
871	5091	67898
872	5097	67891
873	5103	67891
874	5109	67886
875	5116	67886
876	5121	67879
877	5127	67876
878	5133	67866
879	5139	67866
880	5145	67856
881	5150	67848
882	5158	67863
883	5164	67858
884	5170	67857
885	5176	67851
886	5182	67847
887	5187	67839
888	5194	67838
889	5199	67828
890	5205	67825
891	5211	67815
892	5216	67809
893	5223	67807
894	5229	67802
895	5235	67799
896	5241	67798
897	5247	67800
898	5253	67791
899	5259	67783
900	5264	67773
901	5271	67775
902	5276	67766
903	5282	67757
904	5288	67757
905	5294	67749
906	5300	67746
907	5306	67741
908	5311	67733
909	5318	67734
910	5324	67732
911	5330	67724
912	5335	67718
913	5341	67712
914	5348	67715
915	5354	67709
916	5360	67711
917	5366	67705
918	5372	67702
919	5378	67703
920	5384	67698
921	5391	67698
922	5396	67693
923	5403	67693
924	5409	67689
925	5415	67688
926	5421	67679
927	5426	67673
928	5433	67673
929	5439	67672
930	5444	67661
931	5450	67649
932	5455	67639
933	5461	67630
934	5467	67628
935	5473	67618
936	5479	67615
937	5484	67605
938	5490	67595
939	5495	67588
940	5501	67583
941	5507	67579
942	5513	67567
943	5520	67574
944	5526	67575
945	5531	67565
946	5537	67559
947	5543	67552
948	5548	67540
949	5555	67538
950	5561	67535
951	5566	67524
952	5572	67522
953	5578	67510
954	5583	67504
955	5589	67494
956	5595	67489
957	5601	67487
958	5607	67479
959	5613	67476
960	5618	67467
961	5624	67463
962	5630	67455
963	5636	67451
964	5642	67449
965	5649	67450
966	5655	67455
967	5662	67463
968	5670	67478
969	5676	67474
970	5682	67465
971	5687	67458
972	5693	67449
973	5699	67442
974	5704	67434
975	5711	67433
976	5717	67434
977	5723	67432
978	5730	67434
979	5735	67426
980	5741	67420
981	5747	67418
982	5754	67416
983	5759	67408
984	5765	67401
985	5771	67400
986	5777	67392
987	5783	67391
988	5789	67383
989	5795	67380
990	5801	67373
991	5807	67373
992	5813	67365
993	5819	67358
994	5825	67355
995	5830	67345
996	5837	67346
997	5842	67338
998	5848	67331
999	5854	67328
