iter	Passed	Remaining
0	9	115475
1	21	133567
2	34	142830
3	47	149652
4	66	165175
5	74	155282
6	86	155165
7	99	155311
8	112	155799
9	124	154973
10	136	155231
11	147	153087
12	153	147630
13	163	145588
14	170	141799
15	177	138813
16	187	137335
17	195	135366
18	202	133309
19	211	131713
20	217	129336
21	226	128259
22	232	126140
23	240	125246
24	249	124379
25	255	122562
26	262	121070
27	279	124515
28	290	125034
29	302	125858
30	308	124011
31	317	123876
32	325	123094
33	333	122279
34	340	121256
35	348	120485
36	355	119659
37	363	119180
38	371	118554
39	379	118102
40	388	117911
41	395	117341
42	402	116563
43	410	116328
44	418	115964
45	425	115295
46	435	115295
47	442	114687
48	450	114414
49	459	114374
50	465	113637
51	473	113273
52	479	112659
53	487	112253
54	494	111959
55	502	111703
56	510	111429
57	521	111767
58	536	113192
59	544	112915
60	553	112789
61	559	112285
62	565	111710
63	572	111231
64	580	111014
65	589	111004
66	595	110448
67	602	110200
68	609	109831
69	616	109522
70	624	109382
71	633	109297
72	639	108869
73	647	108709
74	655	108548
75	661	108104
76	670	108141
77	676	107754
78	683	107531
79	689	106995
80	695	106685
81	702	106351
82	711	106444
83	719	106390
84	726	106152
85	734	106072
86	741	105775
87	749	105663
88	755	105350
89	763	105241
90	769	104978
91	778	104980
92	787	105030
93	793	104774
94	801	104681
95	808	104483
96	816	104462
97	825	104463
98	832	104296
99	839	104070
100	846	103948
101	855	104032
102	863	103910
103	871	103853
104	879	103828
105	886	103615
106	894	103582
107	902	103565
108	909	103368
109	917	103308
110	923	103084
111	931	103082
112	939	102951
113	947	102965
114	955	102896
115	965	103086
116	982	103955
117	987	103669
118	994	103427
119	999	103127
120	1007	103117
121	1013	102856
122	1021	102808
123	1027	102539
124	1034	102423
125	1041	102266
126	1049	102211
127	1056	102147
128	1065	102204
129	1072	102057
130	1079	101901
131	1087	101856
132	1103	102572
133	1111	102534
134	1119	102495
135	1127	102474
136	1134	102393
137	1149	102980
138	1158	103038
139	1166	102975
140	1173	102842
141	1180	102706
142	1186	102525
143	1192	102337
144	1198	102097
145	1204	101903
146	1210	101714
147	1218	101676
148	1223	101442
149	1230	101287
150	1236	101121
151	1242	100958
152	1248	100751
153	1253	100526
