iter	Passed	Remaining
0	5	63314
1	8	55565
2	12	51866
3	16	50822
4	20	50801
5	24	50782
6	28	50120
7	32	50008
8	35	49571
9	39	49622
10	43	49446
11	47	49070
12	50	48885
13	55	49287
14	58	49098
15	62	48887
16	66	48716
17	69	48506
18	73	48451
19	77	48551
20	81	48395
21	85	48313
22	88	48133
23	92	47905
24	95	47652
25	99	47548
26	102	47432
27	106	47272
28	109	47090
29	112	46948
30	116	46976
31	120	46964
32	124	46939
33	128	46963
34	131	46956
35	135	46918
36	139	46852
37	142	46843
38	146	46893
39	150	46856
40	154	46868
41	157	46820
42	161	46831
43	165	46797
44	169	46784
45	172	46738
46	176	46700
47	179	46690
48	183	46641
49	187	46602
50	190	46581
51	194	46600
52	198	46565
53	202	46594
54	205	46564
55	209	46537
56	213	46508
57	216	46475
58	220	46481
59	224	46614
60	228	46627
61	232	46587
62	235	46567
63	239	46535
64	243	46524
65	246	46499
66	250	46474
67	254	46450
68	257	46438
69	261	46416
70	265	46390
71	269	46572
72	273	46570
73	276	46497
74	280	46439
75	283	46378
76	287	46380
77	290	46334
78	294	46295
79	297	46228
80	301	46202
81	304	46169
82	308	46138
83	311	46088
84	315	46048
85	318	46012
86	322	45959
87	325	45905
88	329	45881
89	332	45834
90	336	45827
91	339	45789
92	342	45747
93	346	45703
94	349	45682
95	353	45645
96	356	45611
97	360	45580
98	363	45530
99	367	45526
100	370	45542
101	374	45513
102	377	45482
103	381	45455
104	384	45421
105	388	45394
106	391	45348
107	394	45316
108	398	45269
109	401	45226
110	404	45187
111	408	45153
112	411	45115
113	414	45083
114	418	45045
115	421	45029
116	425	45005
117	428	44969
118	431	44930
119	435	44895
120	438	44857
121	441	44830
122	445	44807
123	448	44774
124	452	44750
125	455	44722
126	458	44690
127	462	44660
128	465	44643
129	468	44617
130	472	44588
131	475	44560
132	478	44530
133	482	44493
134	485	44462
135	488	44431
136	492	44408
137	495	44384
138	498	44363
139	502	44334
140	505	44311
141	508	44293
142	512	44258
143	515	44230
144	518	44191
145	522	44179
146	525	44158
147	529	44150
148	532	44127
149	535	44107
150	539	44085
151	542	44077
152	546	44069
153	549	44037
154	552	44010
155	556	43999
156	559	44003
157	563	43983
158	566	43955
159	569	43932
160	572	43912
161	576	43887
162	579	43868
163	582	43850
164	586	43836
165	589	43827
166	593	43805
167	596	43791
168	600	43792
169	603	43795
170	607	43819
171	611	43821
172	614	43809
173	618	43814
174	621	43790
175	625	43787
176	628	43779
177	632	43774
178	635	43757
179	639	43752
180	642	43736
181	646	43737
182	649	43723
183	653	43713
184	656	43690
185	659	43684
186	663	43667
187	666	43661
188	669	43640
189	673	43630
190	676	43608
191	680	43600
192	683	43571
193	686	43560
194	690	43543
195	693	43534
196	696	43522
197	700	43514
198	703	43491
199	707	43482
200	710	43473
201	714	43469
202	717	43455
203	720	43442
204	723	43421
205	727	43407
206	730	43383
207	733	43368
208	737	43348
209	740	43332
210	743	43322
211	747	43317
212	750	43294
213	753	43283
214	757	43280
215	760	43266
216	764	43263
217	767	43253
218	771	43248
219	775	43268
220	778	43256
221	781	43242
222	785	43232
223	788	43228
224	792	43262
225	796	43282
226	804	43506
227	811	43690
228	819	43905
229	823	43909
230	826	43901
231	829	43888
232	833	43878
233	836	43868
234	840	43851
235	848	44079
236	852	44100
237	855	44084
238	859	44072
239	862	44054
240	865	44040
241	869	44024
242	872	44013
243	876	44003
244	879	44015
245	883	44013
246	887	44021
247	890	44008
248	894	43995
249	897	43980
250	900	43968
251	904	43946
252	907	43941
253	911	43945
254	915	43948
255	918	43928
256	922	43932
257	926	43949
258	929	43939
259	933	43938
260	936	43924
261	940	43909
262	943	43894
263	946	43889
264	950	43879
265	953	43861
266	956	43844
267	960	43833
268	963	43830
269	967	43823
270	970	43816
271	974	43807
272	977	43795
273	981	43788
274	984	43775
275	988	43762
276	991	43757
277	995	43766
278	998	43754
279	1002	43746
280	1005	43732
281	1009	43730
282	1012	43718
283	1016	43707
284	1019	43697
285	1027	43867
286	1034	44011
287	1041	44161
288	1048	44299
289	1055	44438
290	1059	44454
291	1063	44466
292	1067	44479
293	1071	44485
294	1075	44512
295	1079	44520
296	1083	44534
297	1088	44569
298	1092	44564
299	1095	44554
300	1102	44698
301	1110	44840
302	1117	44981
303	1124	45119
304	1131	45248
305	1138	45378
306	1146	45518
307	1153	45647
308	1158	45709
309	1161	45688
310	1165	45668
311	1168	45651
312	1171	45632
313	1175	45616
314	1178	45600
315	1182	45582
316	1185	45564
317	1190	45612
318	1197	45726
319	1204	45853
320	1211	45965
321	1218	46100
322	1226	46225
