index,price
0,28285348
1,12923063
2,20463247
3,10517141
4,8455506
5,11828754
6,10139447
7,14247682
8,15526024
9,14248159
10,15100971
11,19918118
12,25510389
13,15373119
14,13091483
15,26334743
16,16468131
17,12817650
18,21886208
19,10308429
20,26014203
21,27109412
22,21753507
23,18796299
24,13440659
25,14133031
26,10392172
27,18678412
28,8778761
29,13133761
30,10879111
31,16605598
32,22870207
33,12819606
34,18075603
35,17084015
36,29659415
37,16473950
38,15143775
39,11836452
40,11841013
41,16526220
42,16363525
43,13710411
44,22673051
45,13059144
46,16890396
47,27113725
48,23828127
49,18263189
50,17541312
51,22031238
52,15758037
53,16739669
54,25873178
55,15508916
56,14960084
57,10361906
58,15011243
59,13537939
60,13410557
61,16021784
62,8912441
63,20808558
64,14569265
65,17759316
66,14307012
67,16565268
68,12631324
69,13190811
70,13099266
71,11484654
72,16651676
73,16388399
74,12336040
75,12512708
76,35909177
77,14000550
78,14215756
79,23584841
80,18417113
81,11332095
82,39119783
83,20222799
84,7723687
85,18468597
86,18731173
87,16712971
88,19849858
89,15657350
90,17220512
91,17346347
92,15894496
93,15071286
94,22309054
95,15079020
96,16681112
97,11781318
98,33916629
99,12737000
100,13129929
101,13823146
102,10789596
103,22487456
104,17144337
105,14355787
106,18273372
107,12168242
108,9703753
109,13560324
110,16596267
111,23208389
112,35385010
113,10750561
114,21411074
115,17897079
116,24016787
117,8938190
118,14391154
119,20945408
120,30267670
121,15330683
122,7784907
123,12700220
124,10787185
125,29296435
126,16767191
127,37935702
128,10307192
129,8933771
130,12533577
131,28797011
132,13104559
133,15596147
134,9216383
135,16543965
136,25722075
137,9431560
138,11597664
139,12623659
140,11337974
141,12440515
142,10233668
143,19626854
144,7356549
145,10718321
146,23682469
147,20803190
148,21971608
149,19825905
150,20111992
151,12509259
152,8347123
153,17973040
154,17956639
155,16132107
156,16400698
157,11295883
158,9396864
159,19038867
160,10614601
161,18144815
162,8322159
163,37494736
164,6599255
165,20392297
166,9868421
167,31500294
168,15782759
169,12741866
170,17165591
171,14472181
172,28581954
173,22771589
174,23256809
175,19055091
176,8459525
177,22344662
178,18229887
179,16075175
180,14125825
181,10479122
182,13893115
183,11801081
184,29577291
185,10658649
186,17761437
187,12626427
188,13167656
189,13347158
190,11185581
191,15510941
192,13434952
193,9314522
194,27392632
195,7939454
196,13096728
197,13904194
198,17202576
199,13602014
200,27566523
201,15111015
202,23134023
203,8039743
204,22309145
205,22907123
206,13804456
207,21902882
208,13238623
209,9157135
210,19178690
211,11389171
212,13679540
213,21027909
214,14090269
215,21978659
216,14869442
217,17795246
218,9022383
219,29443115
220,18342657
221,7141233
222,23170359
223,12684502
224,10892099
225,21508387
226,13745230
227,16145742
228,26806735
229,13310546
230,16721580
231,11323432
232,28464597
233,13757460
234,25111018
235,9091914
236,19696170
237,14287607
238,17074948
239,14620350
240,21941492
241,21552771
242,17001216
243,29658380
244,10604660
245,14026182
246,13042955
247,30988015
248,14419939
249,22685455
250,8948242
251,10693350
252,13095058
253,17043528
254,13473231
255,25515640
256,15854938
257,10984886
258,9052488
259,9362158
260,11249645
261,10560690
262,13006936
263,12566361
264,18160208
265,24237483
266,15588037
267,10690447
268,13206101
269,11745381
270,10613647
271,12964463
272,12937804
273,14418305
274,15167910
275,12772985
276,18901317
277,8597120
278,14232862
279,15536776
280,17727234
281,19076645
282,8748002
283,20895717
284,26045029
285,10942568
286,17676473
287,11136728
288,12754534
289,17395231
290,25199286
291,13386112
292,14237984
293,14525658
294,12753486
295,12268160
296,17787380
297,17402353
298,21713532
299,16671699
300,23420928
301,12465059
302,17858813
303,19477828
304,8696817
305,9817723
306,14426217
307,16275163
308,20178521
309,14215718
310,13893065
311,27711711
312,12997318
313,12078724
314,21329636
315,20123236
316,18520138
317,15044467
